Book	Chapter	Start	End	Type	Label	Text	Notes
M	1	1	1	Individual		Jesus	
M	1	16	16	Individual		Jesus	
M	1	18	18	Individual		Jesus	
M	1	21	21	Individual		Jesus	
M	1	25	25	Individual		Jesus	
M	1	1	1	Individual		David	
M	1	6	6	Individual		David	
M	1	17	17	Individual		David	
M	1	20	20	Individual		David	
M	1	1	1	Individual		Abraham	
M	1	2	2	Individual		Abraham	
M	1	17	17	Individual		Abraham	
M	1	2	2	Individual		Isaac	
M	1	2	2	Individual	Jacob (Israel)	Jacob	
M	1	15	15	Individual	Jacob (Israel)	Jacob	
M	1	2	2	Individual		Judah	
M	1	3	3	Individual		Judah	
M	1	3	3	Individual		Perez	
M	1	3	3	Individual		Zerah	
M	1	3	3	Individual		Tamar	
M	1	3	3	Individual		Hezron	
M	1	3	3	Individual		Ram	
M	1	4	4	Individual		Ram	
M	1	4	4	Individual		Amminadab	
M	1	4	4	Individual		Nahshon	
M	1	4	4	Individual		Salmon	
M	1	5	5	Individual		Salmon	
M	1	5	5	Individual		Boaz	
M	1	5	5	Individual		Rahab	
M	1	5	5	Individual		Obed	
M	1	5	5	Individual		Ruth	
M	1	5	5	Individual		Jesse	
M	1	6	6	Individual		Jesse	
M	1	6	6	Individual		Solomon	
M	1	7	7	Individual		Solomon	
M	1	6	6	Individual		Uriah	
M	1	7	7	Individual		Rehoboam	
M	1	7	7	Individual		Abijah	
M	1	7	7	Individual		Asa	
M	1	8	8	Individual		Asa	
M	1	8	8	Individual		Jehoshaphat	
M	1	8	8	Individual		Jehoram	
M	1	8	8	Individual		Uzziah	
M	1	9	9	Individual		Uzziah	
M	1	9	9	Individual		Jotham	
M	1	9	9	Individual		Ahaz	
M	1	9	9	Individual		Hezekiah	
M	1	10	10	Individual		Hezekiah	
M	1	10	10	Individual		Manasseh	
M	1	10	10	Individual		Amon	
M	1	10	10	Individual		Josiah	
M	1	11	11	Individual		Josiah	
M	1	11	11	Individual		Jeconiah	
M	1	12	12	Individual		Jeconiah	
M	1	12	12	Individual		Shealtiel	
M	1	12	12	Individual		Zerubbabel	
M	1	13	13	Individual		Zerubbabel	
