Book	Chapter	Verse	IsPrimary
M	1	1	TRUE
M	1	2	TRUE
M	1	21	TRUE
M	1	22	TRUE
M	1	23	TRUE
M	2	5	TRUE
M	2	6	TRUE
M	2	11	TRUE
M	2	16	TRUE
M	3	3	TRUE
M	3	11	TRUE
M	3	12	TRUE
M	3	17	TRUE
M	4	4	TRUE
M	4	7	TRUE
M	4	10	TRUE
M	4	16	TRUE
M	5	3	TRUE
M	5	4	TRUE
M	5	5	TRUE
M	5	6	TRUE
M	5	7	TRUE
M	5	8	TRUE
M	5	9	TRUE
M	5	10	TRUE
M	5	11	TRUE
M	5	12	TRUE
M	5	13	TRUE
M	5	14	TRUE
M	5	15	TRUE
M	5	16	TRUE
M	5	18	TRUE
M	5	32	TRUE
M	5	37	TRUE
M	5	39	TRUE
M	5	44	TRUE
M	5	45	TRUE
M	5	48	TRUE
M	6	3	TRUE
M	6	4	TRUE
M	6	6	TRUE
M	6	7	TRUE
M	6	9	TRUE
M	6	10	TRUE
M	6	11	TRUE
M	6	12	TRUE
M	6	13	TRUE
M	6	14	TRUE
M	6	15	TRUE
M	6	24	TRUE
M	6	28	TRUE
M	6	29	TRUE
M	6	33	TRUE
M	7	1	TRUE
M	7	2	TRUE
M	7	7	TRUE
M	7	8	TRUE
M	7	11	TRUE
M	7	12	TRUE
M	7	13	TRUE
M	7	14	TRUE
M	7	21	TRUE
M	8	10	TRUE
M	8	11	TRUE
M	8	12	TRUE
M	8	17	TRUE
M	8	27	TRUE
M	9	5	TRUE
M	9	6	TRUE
M	9	12	TRUE
M	9	13	TRUE
M	9	16	TRUE
M	9	17	TRUE
M	9	36	TRUE
M	9	37	TRUE
M	9	38	TRUE
M	10	16	TRUE
M	10	19	TRUE
M	10	24	TRUE
M	10	28	TRUE
M	10	32	TRUE
M	10	33	TRUE
M	10	37	TRUE
M	10	38	TRUE
M	10	39	TRUE
M	10	42	TRUE
M	11	3	TRUE
M	11	4	TRUE
M	11	5	TRUE
M	11	11	TRUE
M	11	15	TRUE
M	11	19	TRUE
M	11	25	TRUE
M	11	26	TRUE
M	11	27	TRUE
M	11	28	TRUE
M	11	29	TRUE
M	11	30	TRUE
M	12	7	TRUE
M	12	8	TRUE
M	12	18	TRUE
M	12	19	TRUE
M	12	20	TRUE
M	12	21	TRUE
M	12	25	TRUE
M	12	26	TRUE
M	12	31	TRUE
M	12	32	TRUE
M	12	34	TRUE
M	12	35	TRUE
M	12	40	TRUE
M	12	50	TRUE
M	13	12	TRUE
M	13	14	TRUE
M	13	15	TRUE
M	13	43	TRUE
M	13	57	TRUE
M	14	27	TRUE
M	14	31	TRUE
M	14	33	TRUE
M	15	8	TRUE
M	15	9	TRUE
M	15	11	TRUE
M	16	4	TRUE
M	16	16	TRUE
M	16	17	TRUE
M	16	18	TRUE
M	16	19	TRUE
M	16	24	TRUE
M	16	25	TRUE
M	16	26	TRUE
M	17	5	TRUE
M	17	20	TRUE
M	18	3	TRUE
M	18	4	TRUE
M	18	10	TRUE
M	18	14	TRUE
M	19	4	TRUE
M	19	5	TRUE
M	19	6	TRUE
M	19	8	TRUE
M	19	14	TRUE
M	19	24	TRUE
M	19	26	TRUE
M	19	30	TRUE
M	20	16	TRUE
M	20	19	TRUE
M	20	26	TRUE
M	20	27	TRUE
M	20	28	TRUE
M	21	5	TRUE
M	21	9	TRUE
M	21	13	TRUE
M	21	22	TRUE
M	21	42	TRUE
M	21	43	TRUE
M	21	44	TRUE
M	22	14	TRUE
M	22	21	TRUE
M	22	32	TRUE
M	22	37	TRUE
M	22	38	TRUE
M	22	39	TRUE
M	22	40	TRUE
M	22	43	TRUE
M	22	44	TRUE
M	23	11	TRUE
M	23	12	TRUE
M	23	23	TRUE
M	23	24	TRUE
M	23	26	TRUE
M	23	37	TRUE
M	24	5	TRUE
M	24	6	TRUE
M	24	7	TRUE
M	24	8	TRUE
M	24	12	TRUE
M	24	13	TRUE
M	24	14	TRUE
M	24	22	TRUE
M	24	27	TRUE
M	24	28	TRUE
M	24	30	TRUE
M	24	34	TRUE
M	24	35	TRUE
M	24	36	TRUE
M	24	44	TRUE
M	25	29	TRUE
M	25	40	TRUE
M	26	13	TRUE
M	26	26	TRUE
M	26	27	TRUE
M	26	28	TRUE
M	26	29	TRUE
M	26	31	TRUE
M	26	38	TRUE
M	26	39	TRUE
M	26	42	TRUE
M	26	52	TRUE
M	26	53	TRUE
M	26	64	TRUE
M	27	9	TRUE
M	27	10	TRUE
M	27	35	TRUE
M	27	37	TRUE
M	27	46	TRUE
M	27	50	TRUE
M	27	51	TRUE
M	27	52	TRUE
M	27	53	TRUE
M	28	10	TRUE
M	28	18	TRUE
M	28	19	TRUE
M	28	20	TRUE
