Book	Chapter	Verse	IsPrimary
1Th	1	10	TRUE
1Th	2	12	TRUE
1Th	2	13	TRUE
1Th	3	12	TRUE
1Th	3	13	TRUE
1Th	4	3	TRUE
1Th	4	4	TRUE
1Th	4	7	TRUE
1Th	4	9	TRUE
1Th	4	11	TRUE
1Th	4	12	TRUE
1Th	4	13	TRUE
1Th	4	14	TRUE
1Th	4	15	TRUE
1Th	4	16	TRUE
1Th	4	17	TRUE
1Th	4	18	TRUE
1Th	5	2	TRUE
1Th	5	8	TRUE
1Th	5	9	TRUE
1Th	5	10	TRUE
1Th	5	11	TRUE
1Th	5	12	TRUE
1Th	5	14	TRUE
1Th	5	15	TRUE
1Th	5	19	TRUE
1Th	5	20	TRUE
1Th	5	21	TRUE
1Th	5	22	TRUE
1Th	5	23	TRUE
2Th	1	4	TRUE
2Th	1	5	TRUE
2Th	1	6	TRUE
2Th	2	3	TRUE
2Th	2	4	TRUE
2Th	2	8	TRUE
2Th	2	9	TRUE
2Th	2	10	TRUE
2Th	2	12	TRUE
2Th	2	13	TRUE
2Th	3	1	TRUE
2Th	3	3	TRUE
2Th	3	6	TRUE
2Th	3	10	TRUE
2Th	3	13	TRUE
1Ti	1	15	TRUE
1Ti	1	16	TRUE
1Ti	2	5	TRUE
1Ti	2	6	TRUE
1Ti	2	8	TRUE
1Ti	3	1	TRUE
1Ti	3	2	TRUE
1Ti	3	8	TRUE
1Ti	3	9	TRUE
1Ti	3	10	TRUE
1Ti	4	1	TRUE
1Ti	4	4	TRUE
1Ti	4	5	TRUE
1Ti	4	7	TRUE
1Ti	4	8	TRUE
1Ti	4	12	TRUE
1Ti	4	13	TRUE
1Ti	4	14	TRUE
1Ti	4	16	TRUE
1Ti	5	17	TRUE
1Ti	5	18	TRUE
1Ti	5	19	TRUE
1Ti	5	21	TRUE
1Ti	6	6	TRUE
1Ti	6	7	TRUE
1Ti	6	8	TRUE
1Ti	6	11	TRUE
1Ti	6	12	TRUE
1Ti	6	17	TRUE
1Ti	6	18	TRUE
1Ti	6	19	TRUE
2Ti	1	6	TRUE
2Ti	1	7	TRUE
2Ti	1	13	TRUE
2Ti	1	14	TRUE
2Ti	2	4	TRUE
2Ti	2	5	TRUE
2Ti	2	8	TRUE
2Ti	2	11	TRUE
2Ti	2	12	TRUE
2Ti	2	13	TRUE
2Ti	2	15	TRUE
2Ti	2	20	TRUE
2Ti	2	21	TRUE
2Ti	2	22	TRUE
2Ti	2	23	TRUE
2Ti	3	1	TRUE
2Ti	3	2	TRUE
2Ti	3	3	TRUE
2Ti	3	4	TRUE
2Ti	3	5	TRUE
2Ti	3	12	TRUE
2Ti	3	15	TRUE
2Ti	3	16	TRUE
2Ti	3	17	TRUE
2Ti	4	2	TRUE
2Ti	4	3	TRUE
2Ti	4	4	TRUE
2Ti	4	7	TRUE
2Ti	4	8	TRUE
T	1	2	TRUE
T	1	6	TRUE
T	1	7	TRUE
T	1	8	TRUE
T	1	9	TRUE
T	1	2	TRUE
T	1	3	TRUE
T	1	6	TRUE
T	1	7	TRUE
T	1	11	TRUE
T	1	12	TRUE
T	1	13	TRUE
T	1	14	TRUE
T	1	5	TRUE
T	1	6	TRUE
T	1	7	TRUE
T	1	8	TRUE
1J	1	5	TRUE
1J	1	6	TRUE
1J	1	7	TRUE
1J	1	8	TRUE
1J	1	9	TRUE
1J	1	10	TRUE
1J	2	2	TRUE
1J	2	5	TRUE
1J	2	6	TRUE
1J	2	9	TRUE
1J	2	10	TRUE
1J	2	11	TRUE
1J	2	15	TRUE
1J	2	17	TRUE
1J	2	29	TRUE
1J	3	1	TRUE
1J	3	2	TRUE
1J	3	3	TRUE
1J	3	16	TRUE
1J	3	17	TRUE
1J	3	18	TRUE
1J	3	23	TRUE
1J	3	24	TRUE
1J	4	2	TRUE
1J	4	4	TRUE
1J	4	7	TRUE
1J	4	9	TRUE
1J	4	10	TRUE
1J	4	11	TRUE
1J	4	12	TRUE
1J	4	15	TRUE
1J	4	16	TRUE
1J	4	18	TRUE
1J	4	19	TRUE
1J	5	6	TRUE
1J	5	7	TRUE
1J	5	13	TRUE
1J	5	14	TRUE
1J	5	15	TRUE
2J	1	5	TRUE
2J	1	6	TRUE
3J	1	10	TRUE
