Book	Chapter	Verse	IsPrimary
R	1	1	TRUE
R	1	2	TRUE
R	1	3	TRUE
R	1	4	TRUE
R	1	16	TRUE
R	1	17	TRUE
R	1	25	TRUE
R	2	11	TRUE
R	2	12	TRUE
R	2	13	TRUE
R	3	2	TRUE
R	3	3	TRUE
R	3	4	TRUE
R	3	10	TRUE
R	3	11	TRUE
R	3	12	TRUE
R	3	13	TRUE
R	3	14	TRUE
R	3	15	TRUE
R	3	16	TRUE
R	3	19	TRUE
R	3	20	TRUE
R	3	23	TRUE
R	3	24	TRUE
R	3	25	TRUE
R	3	26	TRUE
R	3	28	TRUE
R	4	3	TRUE
R	4	7	TRUE
R	4	8	TRUE
R	4	21	TRUE
R	4	22	TRUE
R	4	23	TRUE
R	4	24	TRUE
R	4	25	TRUE
R	5	1	TRUE
R	5	2	TRUE
R	5	3	TRUE
R	5	4	TRUE
R	5	5	TRUE
R	5	6	TRUE
R	5	7	TRUE
R	5	8	TRUE
R	5	9	TRUE
R	5	10	TRUE
R	5	20	TRUE
R	6	2	TRUE
R	6	6	TRUE
R	6	14	TRUE
R	6	22	TRUE
R	6	23	TRUE
R	7	12	TRUE
R	7	24	TRUE
R	7	25	TRUE
R	8	1	TRUE
R	8	2	TRUE
R	8	3	TRUE
R	8	4	TRUE
R	8	5	TRUE
R	8	6	TRUE
R	8	7	TRUE
R	8	9	TRUE
R	8	10	TRUE
R	8	11	TRUE
R	8	14	TRUE
R	8	15	TRUE
R	8	16	TRUE
R	8	17	TRUE
R	8	18	TRUE
R	8	26	TRUE
R	8	27	TRUE
R	8	28	TRUE
R	8	31	TRUE
R	8	35	TRUE
R	8	37	TRUE
R	8	38	TRUE
R	8	39	TRUE
R	9	15	TRUE
R	9	16	TRUE
R	9	33	TRUE
R	10	1	TRUE
R	10	4	TRUE
R	10	8	TRUE
R	10	9	TRUE
R	10	10	TRUE
R	10	13	TRUE
R	10	14	TRUE
R	10	15	TRUE
R	10	17	TRUE
R	11	29	TRUE
R	11	33	TRUE
R	12	1	TRUE
R	12	2	TRUE
R	12	3	TRUE
R	12	9	TRUE
R	12	10	TRUE
R	12	11	TRUE
R	12	12	TRUE
R	12	13	TRUE
R	12	14	TRUE
R	12	15	TRUE
R	12	16	TRUE
R	12	17	TRUE
R	12	18	TRUE
R	12	19	TRUE
R	12	20	TRUE
R	12	21	TRUE
R	13	8	TRUE
R	13	9	TRUE
R	13	10	TRUE
R	13	11	TRUE
R	13	12	TRUE
R	13	14	TRUE
R	14	7	TRUE
R	14	8	TRUE
R	14	9	TRUE
R	14	11	TRUE
R	14	17	TRUE
R	15	1	TRUE
R	15	2	TRUE
R	15	3	TRUE
R	15	4	TRUE
R	15	13	TRUE
R	16	20	TRUE
R	16	25	TRUE
R	16	26	TRUE
R	16	27	TRUE
J	1	2	TRUE
J	1	3	TRUE
J	1	4	TRUE
J	1	5	TRUE
J	1	6	TRUE
J	1	7	TRUE
J	1	8	TRUE
J	1	12	TRUE
J	1	13	TRUE
J	1	14	TRUE
J	1	15	TRUE
J	1	17	TRUE
J	1	22	TRUE
J	2	8	TRUE
J	2	17	TRUE
J	2	19	TRUE
J	2	26	TRUE
J	3	5	TRUE
J	3	8	TRUE
J	3	13	TRUE
J	3	17	TRUE
J	3	18	TRUE
J	4	3	TRUE
J	4	6	TRUE
J	4	7	TRUE
J	4	8	TRUE
J	4	10	TRUE
J	4	15	TRUE
J	4	16	TRUE
J	5	14	TRUE
J	5	15	TRUE
J	5	16	TRUE
J	5	19	TRUE
J	5	20	TRUE
